sCode,Date,Price
005930,2024.07.22,"83,000"
005930,2024.07.19,"84,400"
005930,2024.07.18,"86,900"
005930,2024.07.17,"86,700"
005930,2024.07.16,"87,700"
005930,2024.07.15,"86,700"
005930,2024.07.12,"84,400"
005930,2024.07.11,"87,600"
005930,2024.07.10,"87,800"
005930,2024.07.09,"87,800"
005930,2024.07.08,"87,400"
005930,2024.07.05,"87,100"
005930,2024.07.04,"84,600"
005930,2024.07.03,"81,800"
005930,2024.07.02,"81,800"
005930,2024.07.01,"81,800"
005930,2024.06.28,"81,500"
005930,2024.06.27,"81,600"
005930,2024.06.26,"81,300"
005930,2024.06.25,"80,800"
