Order,Key,gKey,Name
0,../office/office_0001.html,10,엑셀 셀
10,../office/office_0008.html,10,엑셀 수식
20,../office/office_0002.html,10,HWP
30,../office/office_0003.html,10,3벌식
40,../office/office_0004.html,10,파워포인트
50,../office/office_0005.html,10,Sticky Notes
60,../office/office_0006.html,10,윈도우
3710,T메롱,10,
70,../office/office_0007.html,10,맥OS
80,./conhtml/mpb_0001.html,11,인공지능의 역사
90,./conhtml/mpb_0002.html,11,인공지능의 요소기술
510,A0000001,11,파이썬 프로그래밍 기초
520,A0000002,11,변수 및 연산자
530,A0000003,11,데이터타입
540,A0000004,11,기본제어구조(선택 및 반복)
550,A0000006,11,리스트
560,A0000007,11,튜플 / 딕셔너리
570,A0000008,11,함수 1
580,A0000009,11,함수 2
590,A0000011,11,모듈_패키지
600,A0000012,11,tkinter 1
610,A0000014,11,tkinter 2 (미작성)
620,A0000016,11,파일 1
630,A0000017,11,파일 2
640,A0000018,11,객체지향 1
650,A0000019,11,객체지향 2
660,A0000020,11,객체지향 3
670,A0000015,11,인공지능 기초
680,A0000021,11,Numpy 1
690,A0000022,11,Numpy 2
700,A0000023,11,Pandas
710,A0000025,11,Matplotlib
720,../study/study_0071.html,11,파이썬 수강
730,../study/study_0072.html,11,비전공자를 위한 첫 코딩 챌린지
740,A0000005,11,주요 함수
750,A0000010,11,주의사항
760,A0000013,11,DeBug
770,B0000001,12,같이살자 우리모두
780,B0000002,12,당신도 빅뱅을 믿나요
790,B0000003,12,DNA의 배신_암
800,B0000004,12,지구가 찿는 것도 한계가 있다
810,B0000005,12,삶의 지혜를 죽음에게 묻다 (강의)
820,B0000006,12,진정한 행복의 7가지 조건 (강의)
830,../book/book_0118.html,13,118. 무조건 당신편
840,../book/book_0113.html,13,113. 마음 실험실
850,../book/book_0108.html,13,108. 서른살이 심리학에게 묻다
860,../book/book_0102.html,13,102. 자제력 수업
870,../book/book_0095.html,13,095. 자존감의 여섯 기둥
880,../book/book_0027.html,13,027. 욱하는 성질 죽이기
890,../book/book_0026.html,13,026. 백곰 심리학
900,../book/book_0019.html,13,019. 가족의 두 얼굴
910,../book/book_0069.html,13,069. 나는 왜 네가 힘들까 괜찮아
920,../book/book_0051.html,13,051. 행복도 선택이다
930,../book/book_0126.html,14,126. 중학생 필독 시
940,../book/book_0122.html,14,122. 꼭 읽어야 할 시 369 (윤동주)
950,../book/book_0054.html,14,054. 백석 _ 외롭고 높고 쓸쓸한
960,../book/book_0049.html,14,049. 난 빨강
970,../big/big_0001.html,15,01. 데이터의 이해
980,../big/big_0002.html,15,02. 데이터 분석 기획
990,../big/big_0003.html,15,03. 데이터분석개요
1000,../big/big_0004.html,15,04. 데이터마트
1010,../big/big_0005.html,15,05. 기초 통계
1020,../big/big_0006.html,15,06. 가설검정_확률
1030,../big/big_0007.html,15,07. 통계적 분석방법
1040,../big/big_0008.html,15,08. 분류분석
1050,../big/big_0009.html,15,09. 군집 _ 연관분석
1060,../big/big_0010.html,15,10. 비정형데이터마이닝
1070,../docu/docu_0017.html,16,삶의 지혜를 죽음에게 묻다 (듣고)
1080,B0000005,16,삶의 지혜를 죽음에게 묻다 (자료)
1090,../book/book_0076.html,16,076. 타나토노트 2 (소설)
1100,../book/book_0075.html,16,075. 타나토노트 1 (소설)
1110,../book/book_0059.html,16,059. 아버지는 그렇게 작아져간다
1120,../book/book_0136.html,17,136. 주식투자 ETF로 시작하라 (작성중)
1130,../book/book_0135.html,17,135. 수학의 힘 (작성중)
1140,../book/book_0134.html,17,134. 미술관 출입증 (작성중)
1150,../book/book_0133.html,17,133. 알고 가면 미술관엔 그림이 있다
1160,../book/book_0132.html,17,132. 더 플로
1170,../book/book_0131.html,17,131. 격차사회
1180,../book/book_0130.html,17,130. 미술관에 간 심리학
1190,../book/book_0129.html,17,129. AI시대의 고등교육
1200,../book/book_0128.html,18,128. 10대를 위한 공정하다는 착각
1210,../book/book_0127.html,18,127. 화가가 사랑한 나무들
1220,../book/book_0112.html,18,112. 피니시 (v4)###
1230,../book/book_0126.html,18,126. 중학생 필독 시 (작성중)
1240,../book/book_0125.html,18,125. 현명한 투자자 해제
1250,../book/book_0124.html,18,124. 주식하는 마음
1260,../book/book_0121.html,18,121. 거인의 어깨 1 (2nd)
1270,../book/book_0123.html,18,123. 거인의 어깨 2
1280,../book/book_0122.html,18,122. 꼭 읽어야 할 시 369 (윤동주)
1290,../book/book_0120.html,18,120. 세상의 모든 법칙
1300,../book/book_0119.html,18,119. 너도 작가가 되고 싶니?
1310,../book/book_0118.html,18,118. 무조건 당신편
1320,../book/book_0117.html,18,117. 너는 사람들을 도와주며 살고 싶니?
1380,T2024년,19,
1390,../book/book_0137.html,19,137. 아직도 악어와 악어새 이야기를 믿어
1400,../book/book_0136.html,19,136. 주식투자 ETF로 시작하라 (작성중)
1410,../book/book_0135.html,19,135. 수학의 힘 (작성중)
1420,../book/book_0134.html,19,134. 미술관 출입증 (작성중)
1430,../book/book_0133.html,19,133. 알고 가면 미술관엔 그림이 있다
1440,../book/book_0132.html,19,132. 더 플로
1450,../book/book_0131.html,19,131. 격차사회
1460,../book/book_0130.html,19,130. 미술관에 간 심리학
1470,../book/book_0129.html,19,129. AI시대의 고등교육
1480,T2023년5월이후,19,
1490,../book/book_0128.html,19,128. 10대를 위한 공정하다는 착각
1500,../book/book_0127.html,19,127. 화가가 사랑한 나무들
1510,../book/book_0126.html,19,126. 중학생 필독 시 (작성중)
1520,../book/book_0125.html,19,125. 현명한 투자자 해제
1530,../book/book_0124.html,19,124. 주식하는 마음
1540,../book/book_0123.html,19,123. 거인의 어깨 2
